id;name
1;HDFC Bank
2;ICICI Bank
3;State Bank of India
4;Yes Bank
5;Bank of Baroda
6;Punjab National Bank
7;Central Bank of India
8;Canara Bank
9;IDBI Bank
10;Bank of India
11;Indian Bank
12;Union Bank of India
13;Syndicate Bank
14;Allahabad Bank
15;Indian Overseas Bank
16;UCO Bank
17;State Bank of Bikaner & Jaipur
18;Oriental Bank of Commerce
19;Corporation Bank
20;Andhra Bank
21;Vjaya Bank
22;State Bank of Travancore
23;Bank of Maharashtra
24;State Bank of Mysore
25;Dena Bank
26;United Bank of India
27;Punjab & Sind Bank
28;Kotak Mahindra Bank
29;Axis Bank
30;IndusInd Bank
31;IDFC Bank
32;Federal Bank
33;RBL Bank
34;City Union Bank
35;Karur Vysya Bank
36;JK Bank
37;DCB Bank
38;South Indian Bank
39;Karnataka Bank
40;Lakshmi Vilas Bank
41;Dhanlakshmi Bank
