id;name
1;LIC of India
2;SBI Life Insurance
3;AEGON Life Insurance
4;Aviva Life Insurance
5;Bajaj Allianz Life Insurance
6;Bharti AXA Life Insurance
7;Birla Sun Life Insurance
8;Canara HSBC OBC Life Insurance
9;DHFL Pramerica Life Insurance
10;Edelweiss Tokio Life Insurance
11;Exide Life Insurance
12;Future Generali Life Insurance
13;HDFC Standard Life Insurance
14;ICICI Prudential Life Insurance
15;IDBI Federal Life Insurance
16;India First Life Insurance Company Ltd
17;Kotak Life Insurance
18;Max Newyork Life Insurance
19;PNB MetLife Insurance
20;Reliance Life Insurance
21;Sahara Life Insurance
22;Shriram Life Insurance
23;Star Union Dai-ichi Life Insurance
24;Tata AIA Life Insurance
